Judul,Text,Media,Label
Pakar Ungkap Peradaban Manusia yang Paling Bertahan Lama,"{'Beberapa peradaban seperti Mesir, China, dan Mesopotamia diketahui sebagai peradaban tertua. Namun, apakah mereka masuk ke kategori peradaban yang bertahan lama?'}",CNN Indonesia,Teknologi
"Daftar Kuota Internet Medsos Harian Murah, Cek Rincian Harganya","{'Telkomsel, Tri, dan Axis tercatat punya paket internet khusus media sosial (medsos) yang berlaku satu hari bahkan jam-jaman dengan\xa0harga amat terjangkau.'}",CNN Indonesia,Teknologi
4 Bukti Meta dan Medsosnya Tak Netral di Konflik Israel-Palestina,"{""Meta, perusahaan yang\xa0memiliki\xa0Facebook, Instagram, WhatsApp, hingga Threads, menunjukkan kecenderungan memihak Israel dan 'membully' Palestina. Berikut bukti-buktinya.""}",CNN Indonesia,Teknologi
Cara 'Kejam' Asteroid Bikin Dinosaurus Punah Perlahan,"{'Peneliti di Observatorium Kerajaan Belgia mengungkapkan cara\xa0dinosaurus punah\xa0usai hantaman asteroid. Yakni,\xa0menyetop proses fotosintesis.'}",CNN Indonesia,Teknologi
Sudah Terbukti! 2 Kegiatan Ini Bikin Anak Pintar & Sukses,"{'Jakarta, CNBC Indonesia - Otak anak-anak sangat mudah menyerap segala informasi.\xa0Periode saat manusia masih berusia sangat muda tersebut biasanya disebut sebagai golden age masa pembelajaran.'}",CNBC Indonesia,Lifestyle
"Semangka Jadi Simbol Dukungan ke Palestina, Ini Penjelasannya","{'Jakarta, CNBC Indonesia - Belakangan emoji semangka bertebaran di dunia maya. Emoji semangka ini digunakan untuk mengampanyekan dukungan kepada Palestina.'}",CNBC Indonesia,Lifestyle
Tegas! Perusahaan RI Ini Boikot Produk Pendukung Israel,"{'Jakarta, CNBC Indonesia - Sejumlah langkah terus dikerahkan untuk mendukung Palestina di tengah konflik dengan Israel. Boikot menjadi salah satu pilihan.'}",CNBC Indonesia,Lifestyle
"PDI-P Sebut Prabowo-Gibran Neo Orde Baru, Gerindra: Senyumin Saja, Kalau Perlu Jogetin...","{'PDI-P Sebut Prabowo-Gibran Neo Orde Baru, Gerindra: Senyumin Saja, Kalau Perlu Jogetin...'}",Kompas Indonesia,Nasional
"Gerindra: Tidak Ada Istilah Prabowo Kalah di Jakarta, Yakin Menang Mutlak!","{'Gerindra: Tidak Ada Istilah Prabowo Kalah di Jakarta, Yakin Menang Mutlak!'}",Kompas Indonesia,Nasional
Erick Thohir Diduga Merugi Kerja Politiknya Gagal dan Pilih Tak Masuk Timses Prabowo,{'Erick Thohir Diduga Merugi Kerja Politiknya Gagal dan Pilih Tak Masuk Timses Prabowo'},Kompas Indonesia,Nasional
DISKUSI RINGAN TENTANG PEMBERDAYAAN MASYARAKAT dan UMKM KOTA AIR LUWUK,"{'Luwuk, 25 Agustus 2023, bertempat di salah satu sudut lobby hotel di daerah kota Air Luwuk, telah berlangsung sebuah diskusi ringan yang melibatkan berbagai stake Holder, diantaranya dari Pemerhati Ekonomi, pelaku Usaha, Pemerintah, serta beberapa orang masyarakat setempat. Diskusi ini merupakan wadah bagi mereka untuk berbagi pemikiran dan pengalaman seputar pemberdayaan masyarakat, pengembangan Usaha Mikro Kecil dan Menengah (UMKM), serta dukungan pemerintah dalam peningkatan kapasitas pelaku usaha.'}",Suara Edukasi,UMKM
Momentum Hari Ulang Tahun Kemerdekaan RI untuk Mendorong Pertumbuhan Ekonomi Kerakyatan dan UMKM,{'Oleh : Budiman Jaya Ashari*'},Suara Edukasi,UMKM
HARI ULANG TAHUN UMKM: Mendorong Transformasi dan Pertumbuhan Menuju Kemandirian Ekonomi,{'Oleh : Budiman Jaya Ashari*'},Suara Edukasi,UMKM
Taylor Swift Bisa Bikin IPK Lo Naik,"{'Apa lagi yang sering lo dengerin pas belajar? Lo-fi? Jazz? Atau mungkin pop? Kalo mau IPK lo naik, coba deh dengerin lagu Taylor Swift pas lagi belajar. Studi terkini dari College Rover yang dilansir dari audacy.com, pelajar dengan IPK yang di atas rata-rata sering mendengarkan lagu Taylor Swift. IPK mereka rata-rata 3,5 sampai 4,0.'}",Folkative,Music
Lakuin 4 Tips Ini Kalau Mau Menang War Tiket Coldplay,"{'Setelah digantungin beberapa waktu, siapa yang lega karena Coldplay udah fix konser di Jakarta tanggal 15 November 2023 di Stadion Utama Gelora Bung Karno (SUGBK)?'}",Folkative,Music
Keseruan Konser NCT DREAM: The DREAM Show 2 di Jakarta,"{'Buat Lo para NCTzen, udah nonton konser NCT DREAM di Indonesia Convention Exhibition (ICE) BSD belom?'}",Folkative,Music
Boarder Gathering “Chill Out Together”,"{'Boarder Gathering merupakan kegiatan yang diselenggarakan oleh Program Development Center di Binus Square yang tujuannya untuk meningkatkan keakraban diantara para boarder khususnya boarder baru. Pada tanggal 27 September 2023, kegiatan yang bertemakan Boarder Gathering: “Chill Out Together” ini, dihadiri sebanyak 217 boarder yang berpatisipasi di kemeriahan acara tersebut. Disesi awal, tepat pukul 19.00 WIB acara dibuka oleh Kent dan Karen sebagai MC untuk menyapa seluruh peserta yang hadir dengan dua Bahasa/ Bilingual, karena peserta terdiri dari boarder luar negeri dan juga lokal. Setelah pembukaan oleh MC, kemudian Miss Yuli selaku General Manager BINUS Square memberikan kata sambutan lalu dilanjutkan oleh Bapak Yohannes Kurniawan selaku Vice Rector Student Affairs menghadiri dan menyapa kepada seluruh boarder yang hadir.'}",BINUS NEWS,BINUS
Student Development Newsletter - September 2023,{''},BINUS NEWS,BINUS
Training Pembekalan Aktivis BSQ Periode 2023/2024,{''},BINUS NEWS,BINUS
Welcoming New Housing Member,"{'Welcoming New Housing Member merupakan kegiatan yang diadakan di BINUS Square pada tanggal 20 September 2023. \xa0Kegiatan ini bertujuan untuk menyambut para Boarder yang baru bergabung kedalam Program Housing yang mereka pilih untuk berkesempatan dan menambah pengalaman untuk mengasah minat yang dimiliki melalui kegiatan dan topik yang beragam. Para Boarder dapat memilih satu dari 3 jenis Housing Program tentunya, yaitu House of Scientia (fokus pada minat teknologi & inovasi), House of Clipa (fokus pada minat seni & budaya), serta House of Ventura (fokus pada minat bisnis dan kewirausahaan).'}",BINUS NEWS,BINUS
Student Development Newsletter - Agustus 2023,{''},BINUS NEWS,BINUS
Upacara 17 Agustus dan Appreciation Day 2023 di BINUS University...,"{'17 Agustus 2023, BINUS University @Alam Sutera Main Campus, melaksanakan upacara peringatan hari kemerdekaan Republik Indonesia ke-78 tahun. Upacara dipimpin oleh Ir. Bernard Gunawan (CEO of Bina Nusantara). Dihadiri oleh Dr. Nelly, S.Kom., M.M., CSCA (Rector of BINUS University), dan para Wakil Rektor, Dekan, Ketua Jurusan dan para tamu undangan mahasiswa berprestasi yang akan menerima penghargaan apresiasi dari BINUS University.'}",BINUS NEWS,BINUS
